collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,100,hybrid,colbert,0.92,0.5013,0.603,45.55,52.67,60.89,58.82
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,25,hybrid,cross-encoder,0.86,0.4519,0.5526,1268.51,3576.5,4070.52,0.48
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,50,hybrid,cross-encoder,0.86,0.4679,0.5647,4691.69,6584.02,6691.92,0.23
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,100,hybrid,cross-encoder,0.86,0.4794,0.5733,9017.84,12821.95,13091.35,0.12
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,25,hybrid,cross-encoder,0.89,0.4654,0.5688,1673.82,3163.74,3294.98,0.53
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,50,hybrid,cross-encoder,0.91,0.4748,0.5798,3331.52,6381.36,6578.79,0.26
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,100,hybrid,cross-encoder,0.94,0.4884,0.5961,7196.43,12725.64,13026.16,0.13
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,25,hybrid,rrf,0.84,0.3818,0.4932,24.16,27.1,27.71,264.98
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,50,hybrid,rrf,0.85,0.4317,0.5326,24.52,28.51,37.21,292.96
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,100,hybrid,rrf,0.85,0.445,0.5433,24.43,29.51,34.08,300.88
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,25,hybrid,rrf,0.89,0.4022,0.5181,24.97,28.63,35.72,285.51
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,50,hybrid,rrf,0.89,0.4139,0.528,25.55,28.29,37.51,286.15
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,20,100,hybrid,rrf,0.89,0.4374,0.5457,25.31,29.43,38.21,278.72
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,25,sparseonly,colbert,0.84,0.4725,0.5643,38.92,47.4,57.44,65.67
scifact_float16_binary,../qdrant-load/configs/scifact/config_float16_binary.yml,10,50,sparseonly,colbert,0.85,0.4792,0.5717,41.18,53.82,61.79,65.43
