collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,100,hybrid,cross-encoder,0.954,0.7159,0.7741,2319.21,4122.47,4611.63,0.42
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,25,hybrid,cross-encoder,0.96,0.7152,0.7746,461.12,932.56,1139.39,1.94
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,50,hybrid,cross-encoder,0.968,0.717,0.7778,1519.18,2459.17,2901.87,0.69
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,100,hybrid,cross-encoder,0.974,0.7173,0.7792,3084.92,4577.18,5884.2,0.4
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,25,hybrid,rrf,0.934,0.6384,0.7102,27.13,36.23,45.51,222.79
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,50,hybrid,rrf,0.934,0.645,0.7151,27.52,36.37,50.27,267.47
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,100,hybrid,rrf,0.934,0.6476,0.717,28.03,36.69,46.98,202.4
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,25,hybrid,rrf,0.956,0.6422,0.7174,27.61,36.26,43.71,257.62
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,50,hybrid,rrf,0.954,0.6477,0.7211,28.03,37.61,43.22,254.65
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,100,hybrid,rrf,0.952,0.6514,0.7235,28.05,36.48,43.0,268.56
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,25,sparseonly,colbert,0.878,0.6781,0.7271,36.48,41.72,46.75,70.81
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,50,sparseonly,colbert,0.898,0.6879,0.7394,36.42,46.67,120.24,70.82
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,10,100,sparseonly,colbert,0.914,0.6982,0.7512,37.79,43.0,50.98,70.33
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,25,sparseonly,colbert,0.882,0.678,0.7278,39.24,95.83,100.51,70.16
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,50,sparseonly,colbert,0.908,0.6884,0.7419,39.16,95.16,100.61,70.23
test_float16_binary,../qdrant-load/configs/config_float16_binary.yml,20,100,sparseonly,colbert,0.928,0.6995,0.7551,42.4,98.36,100.79,68.87
