collection,config,k,prefetch_limit,prefetch_mode,rescorer,recall@k,mrr@k,ndcg@k,p50_ms,p95_ms,p99_ms,qps
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,50,hybrid,colbert,0.952,0.7056,0.7659,41.46,49.12,55.89,63.27
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,100,hybrid,colbert,0.95,0.7044,0.7646,42.96,49.89,57.94,62.1
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,25,hybrid,colbert,0.958,0.708,0.7688,90.09,101.47,162.16,60.55
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,50,hybrid,colbert,0.968,0.7067,0.77,89.95,101.24,131.26,62.66
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,100,hybrid,colbert,0.966,0.7056,0.7688,90.71,101.91,111.83,62.72
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,25,hybrid,cross-encoder,0.948,0.7142,0.7714,336.4,864.55,1076.49,1.99
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,50,hybrid,cross-encoder,0.956,0.7161,0.7747,1309.42,2032.25,2539.56,0.81
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,100,hybrid,cross-encoder,0.954,0.716,0.7742,2668.54,4069.22,4626.07,0.41
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,25,hybrid,cross-encoder,0.958,0.7149,0.774,550.17,926.33,1065.11,1.94
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,50,hybrid,cross-encoder,0.968,0.717,0.7778,1237.95,2109.49,2414.23,0.83
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,100,hybrid,cross-encoder,0.974,0.7175,0.7793,2469.25,4027.13,4751.12,0.42
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,25,hybrid,rrf,0.932,0.6391,0.7104,27.6,34.03,41.19,262.44
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,50,hybrid,rrf,0.932,0.6455,0.715,27.81,36.77,43.38,280.43
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,100,hybrid,rrf,0.932,0.6448,0.7146,28.0,36.18,45.13,264.0
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,25,hybrid,rrf,0.952,0.6444,0.7183,27.79,35.74,43.03,267.73
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,50,hybrid,rrf,0.954,0.6473,0.7208,27.71,34.67,40.1,259.61
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,100,hybrid,rrf,0.954,0.6456,0.7196,28.81,38.7,47.75,238.35
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,25,sparseonly,colbert,0.878,0.6701,0.7211,37.78,43.36,51.9,70.74
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,50,sparseonly,colbert,0.896,0.6816,0.7343,38.62,45.22,52.86,70.46
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,100,sparseonly,colbert,0.916,0.6919,0.747,40.79,47.62,53.64,70.48
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,25,sparseonly,colbert,0.882,0.6704,0.7222,39.7,100.36,127.02,68.32
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,50,sparseonly,colbert,0.906,0.6823,0.7369,41.93,98.94,104.59,69.95
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,100,sparseonly,colbert,0.924,0.6925,0.7491,44.44,100.21,104.47,69.95
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,25,sparseonly,cross-encoder,0.876,0.6757,0.7249,409.52,958.74,1153.69,1.95
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1231.08,2198.67,2662.06,0.85
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,2307.07,4011.27,4515.86,0.44
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,25,sparseonly,cross-encoder,0.882,0.6762,0.7265,530.23,940.92,1124.26,1.94
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,1138.48,2146.96,2542.23,0.86
test_turbo4_noquant,../qdrant-load/configs/config_turbo4_noquant.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,2039.41,4044.26,4711.71,0.44
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,25,hybrid,colbert,0.944,0.7053,0.764,44.1,70.08,113.17,63.13
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,50,hybrid,colbert,0.952,0.7061,0.7664,45.17,79.7,100.54,62.41
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,100,hybrid,colbert,0.946,0.704,0.7634,51.3,87.12,110.27,63.37
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,25,hybrid,colbert,0.96,0.7089,0.7701,91.25,129.88,171.71,60.77
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,50,hybrid,colbert,0.956,0.7036,0.7651,98.21,138.12,160.1,62.8
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,100,hybrid,colbert,0.964,0.705,0.7679,100.43,138.25,181.49,60.91
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,25,hybrid,cross-encoder,0.95,0.7122,0.7703,336.86,879.58,1060.65,2.21
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,50,hybrid,cross-encoder,0.956,0.7176,0.7759,965.83,2133.73,2489.08,0.88
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,100,hybrid,cross-encoder,0.954,0.7158,0.774,2141.05,3986.67,4397.13,0.43
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,25,hybrid,cross-encoder,0.962,0.7139,0.7742,461.97,914.41,1162.43,1.95
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,50,hybrid,cross-encoder,0.972,0.7188,0.78,1198.96,2065.24,2451.69,0.87
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,100,hybrid,cross-encoder,0.972,0.717,0.7786,2347.35,3907.7,4394.34,0.43
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,25,hybrid,rrf,0.926,0.639,0.7089,26.71,30.0,33.13,289.09
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,50,hybrid,rrf,0.932,0.6384,0.7097,26.66,30.02,36.1,295.12
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,100,hybrid,rrf,0.932,0.64,0.7109,26.83,29.95,32.2,300.28
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,25,hybrid,rrf,0.952,0.6305,0.7076,27.02,30.57,36.69,291.33
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,50,hybrid,rrf,0.954,0.6393,0.7148,27.45,30.66,36.66,286.74
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,100,hybrid,rrf,0.954,0.6423,0.7171,27.9,33.84,45.52,292.3
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,25,sparseonly,colbert,0.878,0.6702,0.7213,39.92,59.4,68.54,70.53
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,50,sparseonly,colbert,0.902,0.6811,0.7353,41.49,49.35,77.08,70.66
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,100,sparseonly,colbert,0.922,0.6915,0.7481,49.73,75.4,130.55,70.44
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,25,sparseonly,colbert,0.882,0.6704,0.7222,47.14,110.87,131.0,68.9
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,50,sparseonly,colbert,0.904,0.6823,0.7365,64.47,114.37,137.97,65.97
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,100,sparseonly,colbert,0.924,0.6926,0.7492,51.09,110.22,145.45,58.76
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,25,sparseonly,cross-encoder,0.876,0.6757,0.7249,404.68,945.99,1144.11,1.9
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,50,sparseonly,cross-encoder,0.898,0.6916,0.7425,1129.05,2187.92,2470.18,0.86
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,10,100,sparseonly,cross-encoder,0.916,0.6999,0.7532,2147.91,4061.34,4699.93,0.44
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,25,sparseonly,cross-encoder,0.882,0.6762,0.7265,500.18,955.19,1142.68,1.94
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,50,sparseonly,cross-encoder,0.908,0.6924,0.7451,1121.7,2130.61,2530.47,0.85
test_turbo4_tq1,../qdrant-load/configs/config_tubo4_bits1.yml,20,100,sparseonly,cross-encoder,0.93,0.701,0.7569,2155.34,4085.25,4637.63,0.44
